Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ИНЖИНИРИНГ ГРУПП""";"ООО ""ИТ-ИНЖИНИРИНГ ГРУПП""";Общества с ограниченной ответственностью;196006, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МОСКОВСКАЯ ЗАСТАВА, УЛ КОНДРАТЕНКО, Д. 3, ЛИТЕРА А, ПОМЕЩ. 1-Н, КОМ. 59;1167847327867;7838057826;8 (812) 407-71-75;sale@aissys.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ИНТЕРНЕТ""";"ООО ""ИТ-ИНТЕРНЕТ""";Общества с ограниченной ответственностью;352901, КРАСНОДАРСКИЙ КРАЙ, городской округ ГОРОД АРМАВИР, Г АРМАВИР, УЛ КИРОВА, Д. 29, ПОМЕЩ. 25-35;1152372004124;2372014832;8(86137)60001;elenadobina_it@mail.ru;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ОТКРЫТИЕ СЕРВИС""";"ООО ""ИТ-ОТКРЫТИЕ СЕРВИС""";Общества с ограниченной ответственностью;610020, КИРОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД КИРОВ, Г КИРОВ, УЛ СОВЕТСКАЯ, Д. 51, ОФИС 415;1214300000078;4345507470;8 (8332) 711789;sysadmins@it-o.ru;кировская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-РЕГИОН""";"ООО ""ИТ-РЕГИОН"", ООО ""ИТР""";Общества с ограниченной ответственностью;188304, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ГАТЧИНСКИЙ Р-Н, Г ГАТЧИНА, УЛ ДОСТОЕВСКОГО, Д. 11, ПОМЕЩ. 1;1064705010116;4705031326;+7 (813) 714-33-63;L2@itreg.ru;ленинградская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-СЕРВИС""";"ООО ""ИТ-СЕРВИС""";Общества с ограниченной ответственностью;188660, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВСЕВОЛОЖСКИЙ Р-Н, Г. БУГРЫ, УЛ ШОССЕЙНАЯ, Д. 43А;1104703005307;4703120203;+7 (921) 936-19-82;polyakov.roman@gmail.com;ленинградская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-СИСТЕМЫ""";"ООО ""ИТ-СИСТЕМЫ""";Общества с ограниченной ответственностью;119121, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, ПЕР 1-Й ТРУЖЕНИКОВ, Д. 14, СТР. 2, ПОМЕЩ./ЭТАЖ/КАБИНЕТ 1/2/8,18;1217700227788;9704065025;+7 (905) 504 87 52;podshivalov@gmail.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-СОФТ""";"ООО ""ИТ-СОФТ""";Общества с ограниченной ответственностью;125412, Г.МОСКВА, Ш. КОРОВИНСКОЕ, ВЛ 41;1027709005961;7709383684;+7 (495) 988-30-40;itsoft@itsoft.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ТЕЛЕКОМ""";"ООО ""ИТ-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;140200, МОСКОВСКАЯ ОБЛАСТЬ, ВОСКРЕСЕНСК Г., УЛ. МОСКОВСКАЯ, Д. 32, ЗД. АТС, ОФИС 1;1025000927379;5005034436;(496) 444-30-00;office@almatel.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ТЕХНОЛОГИИ""";"ООО ""ИТ-ТЕХНОЛОГИИ""";Общества с ограниченной ответственностью;196650, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения ГОРОД КОЛПИНО, Г КОЛПИНО, УЛ ФИНЛЯНДСКАЯ, Д. 24, ЛИТЕРА Б, ПОМЕЩ. 1-Н, ОФИС 262, Р.М.2;1227800120635;7817122880;+7 (911) 937-75-75;9492300@mail.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ЦЕНТР""";"ООО ""ИТ-ЦЕНТР""";Общества с ограниченной ответственностью;153000, Ивановская область, Г. ИВАНОВО, УЛ. СТЕПАНОВА, Д.24;1093702026208;3702600678;(915) 820-8880, (4932)353-070;a@ivu.ru;ивановская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ-ЯРОСЛАВЛЬ""";"ООО ""ИТ-ЯРОСЛАВЛЬ""";Общества с ограниченной ответственностью;150040, ЯРОСЛАВСКАЯ ОБЛАСТЬ, Г. ЯРОСЛАВЛЬ, УЛ. ВОЛОДАРСКОГО, Д. 62, К. 2, ПОМЕЩ. 1;1097606002878;7606074564;+7 485 267-90-00;info@livecomm.ru;ярославская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ1""";"ООО ""ИТ1""";Общества с ограниченной ответственностью;129085, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ОСТАНКИНСКИЙ, УЛ ГОДОВИКОВА, Д. 9, СТР. 17, ЭТАЖ 6, ПОМЕЩ. 1,2,15,17,19,Ч.3,5,7;1065010021284;5010028861;+7 (495) 274-06-77;rmorozov@it-one.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТВ И К+""";"ООО ""ИТВ И К+""";Общества с ограниченной ответственностью;295034, РЕСПУБЛИКА КРЫМ, городской округ СИМФЕРОПОЛЬ, Г СИМФЕРОПОЛЬ, ПР-КТ ПОБЕДЫ, Д. 28, ОФИС 1;1149102171580;9102064426;(7978)901-99-26;dmitriy.pankov@tscrimea.ru;республика крым
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТГЛОБАЛКОМ РУС""";"ООО ""ИТГЛОБАЛКОМ РУС""";Общества с ограниченной ответственностью;191028, Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ ЛИТЕЙНЫЙ, Д. 26, ЛИТ. А, ОФИС 5-23;1089847323180;7838413489;8 (495) 748-05-77;info@itglobal.com;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЕРАНЕТ""";"ООО ""ИТЕРАНЕТ""";Общества с ограниченной ответственностью;119121, Г.МОСКВА, ПЕР 1-Й ТРУЖЕНИКОВ, Д. 16, СТР. 17;1027739111168;7704199755;(495)788-87-23;post@iteranet.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЕРИОН""";"ООО ""ИТЕРИОН""";Общества с ограниченной ответственностью;123557, Г.МОСКВА, УЛ. ПРЕСНЕНСКИЙ ВАЛ, Д. 14, ЭТАЖ 1 ПОМ. №IА КОМН. 26;1117746281058;7703741904;+7 (495) 955-24-19;info@iterion.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТК""";"ООО ""ИТК""";Общества с ограниченной ответственностью;666302, ИРКУТСКАЯ ОБЛАСТЬ, Г САЯНСК, МКР. ЦЕНТРАЛЬНЫЙ, Д. 4;1133817001240;3817043173;7(950)148-52-51;b@uilim.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТКМ""";"ООО ""ИТКМ""";Общества с ограниченной ответственностью;141282, МОСКОВСКАЯ ОБЛАСТЬ, ПУШКИНО Г, Г ИВАНТЕЕВКА, УЛ ТОЛМАЧЕВА, Д. 8, ОФИС 2-2;1135038008600;5038102307;8 (496) 536-74-40;itkm@itkm.su;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТРАФФИК""";"ООО ""ИТРАФФИК""";Общества с ограниченной ответственностью;664082, ИРКУТСКАЯ ОБЛАСТЬ, городской округ ГОРОД ИРКУТСК, Г ИРКУТСК, МКР. УНИВЕРСИТЕТСКИЙ, Д. 56, КВ. 7;1233800025480;3812999920;+7 (902) 510-15-70;dmitriychuprina@mail.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТС""";"ООО ""ИТС""";Общества с ограниченной ответственностью;127572, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЛИАНОЗОВО, УЛ УГЛИЧСКАЯ, ДВЛД. 12, К. 1;1167746368250;9715254610;+7 495 988-06-61;its@impluls-it.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТС-ПРОЕКТ""";"ООО ""ИТС-ПРОЕКТ""";Общества с ограниченной ответственностью;141103, МОСКОВСКАЯ ОБЛАСТЬ, Г. ЩЁЛКОВО, УЛ. ЖУКОВСКОГО, Д. 7;1055014138189;5050053712;+7 (965) 448 88 12;its@bk.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТСОФТВАРЕ""";"ООО ""ИТСОФТ""";Общества с ограниченной ответственностью;109240, Г.МОСКВА, НАБ. МОСКВОРЕЦКАЯ, Д. 7, СТР. 1, ПОМЕЩ. 44;1087746982157;7730588444;+7 (495) 988-30-40;web@itsoft.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТХ""";"ООО ""ИТХ""";Общества с ограниченной ответственностью;105066, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛ НОВОРЯЗАНСКАЯ, Д. 26, СТР. 1, ПОМЕЩ. 4/1/1;1097746579435;7704734586;+7-495-688-88-88;admin@ith.su;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИФОРМ""";"ООО ""ИФОРМ""";Общества с ограниченной ответственностью;140000, МОСКОВСКАЯ ОБЛАСТЬ, городской округ ЛЮБЕРЦЫ, Г ЛЮБЕРЦЫ, УЛ КРАСНАЯ, Д. 1, КОМ. 34;1027700118599;7701177351;8 910 476-18-06;7721455@bk.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИХАЛАЙНЕН""";"ООО ""ИХАЛАЙНЕН""";Общества с ограниченной ответственностью;198096, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ АВТОВО, УЛ КРОНШТАДТСКАЯ, Д. 3, К. 4, ЛИТЕРА А, ПОМЕЩ. 5-Н, ОФИС 1, ОФИС 1В;1237800133735;7805811484;+7 (931) 266-79-99;ghk9999@bk.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИШИМ ТВ""";"ООО ""ИШИМ ТВ""";Общества с ограниченной ответственностью;627751, ТЮМЕНСКАЯ ОБЛАСТЬ, Г. ИШИМ, УЛ. ЦВЕТОЧНАЯ, Д. 5Б, ЗД. 1;1077205000388;7205017569;+7 922 488-25-31;3_kuzmenko@mail.ru;тюменская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К ТЕЛЕКОМ""";"ООО ""К ТЕЛЕКОМ""";Общества с ограниченной ответственностью;620137, СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. КУЛИБИНА, Д.2, ОФ.307;1086670034494;6670230988;8 (343) 278-91-11;office@k-telecom.org;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К+ ТЕЛЕКОМ""";"ООО ""К+ ТЕЛЕКОМ""";Общества с ограниченной ответственностью;299038, Г.СЕВАСТОПОЛЬ, ПР-КТ ОКТЯБРЬСКОЙ РЕВОЛЮЦИИ, Д. 38, К. 1;1149204023814;9201008006;+7 978 734-59-50;admin@reedlan.com;г.севастополь
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ВЕКТОР""";"ООО ""К-ВЕКТОР""";Общества с ограниченной ответственностью;141070, МОСКОВСКАЯ ОБЛАСТЬ, Г. КОРОЛЁВ, УЛ. ФРУНЗЕ, Д. 1Д, К. 1, ПОМЕЩ. 1;1187746695817;9701115260;+7(929) 983-43-00;k-vektor-k@yandex.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ИНТЕГРАЦИЯ""";"ООО ""К-ИНТЕГРАЦИЯ""";Общества с ограниченной ответственностью;121357, Г.МОСКВА, УЛ. ВЕРЕЙСКАЯ, Д. 29, СТР. 1, ПОМЕЩ. 1, КОМНАТА 25;1177746593848;7731372261;(499) 397-78-48;order@k-integration.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ОПТИК""";"ООО ""К-ОПТИК""";Общества с ограниченной ответственностью;119633, Г.МОСКВА, УЛ. НОВООРЛОВСКАЯ, Д. 8, К. 2, ПОМ/КОМ 3/4;1167746057863;7729489030;(964) 560-32-32;fill.dmitrij@yandex.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ПРЕСС""";"ООО ""К-ПРЕСС""";Общества с ограниченной ответственностью;192012, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ РЫБАЦКОЕ, ПР-КТ ОБУХОВСКОЙ ОБОРОНЫ, Д. 295, ЛИТЕРА АТ, ПОМЕЩ. 2-1;1174027001917;4004019930;+7 (495) 785 44 78;tenders-kp@express-post.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-РИТЕЙЛ""";"ООО ""К-РИТЕЙЛ""";Общества с ограниченной ответственностью;117105, Г.МОСКВА, Ш ВАРШАВСКОЕ, Д. 9, СТР. 1Б, ПОМ/КОМ XXXVIII/160;1197746720467;7726460579;(499) 795-95-35;info@c-retail.pro;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СЕРВИС""";"ООО ""К-СЕРВИС""";Общества с ограниченной ответственностью;677000, РЕСПУБЛИКА САХА (ЯКУТИЯ), Г. ЯКУТСК, УЛ. ДЗЕРЖИНСКОГО, Д. 66;1141447025070;1435289823;+7-924-870-21-07;kserv.ykt@mail.ru;республика саха (якутия)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-ТЕЛЕКОМ""";"ООО ""К-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;350089, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, ПР-КТ ЧЕКИСТОВ, Д.33, К.2;1142308006917;2308210371;+7 365 266-86-82;K-Telecom@MOBILE-WIN.RU;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К12""";"ООО ""К12""";Общества с ограниченной ответственностью;194100, Г.САНКТ-ПЕТЕРБУРГ, УЛ. КАНТЕМИРОВСКАЯ, Д. 12, ЛИТЕР А, ПОМЕЩ. 26-Н ЧАСТЬ 2;1167847474651;7802605807;812-424-01-01;office@k12.spb.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К2 ТЕЛЕКОМ""";"ООО ""К2 ТЕЛЕКОМ""";Общества с ограниченной ответственностью;123112, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, НАБ ПРЕСНЕНСКАЯ, Д. 12, ПОМЕЩ. 2/3Н/77;1227700865534;9703124447;+7 (495) 771-60-15;register@sordex.pro;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К2""";"ООО ""К2""";Общества с ограниченной ответственностью;127018, Г.МОСКВА, ПР-Д МАРЬИНОЙ РОЩИ 3-Й, Д. 40, СТР. 1, ПОМЕЩ. I (19);1177746029230;9715289362;(926)235-75-91;lan0311@mail.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КА-2""";"ООО ""КА-2""";Общества с ограниченной ответственностью;109429, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ КАПОТНЯ, УЛ ВЕРХНИЕ ПОЛЯ, Д. 48А, СТР. 1;1237700648591;9723209794;+7 (926) 270-75-90;papalexi@mail.ru;г.москва
